[20:47:26] [main/INFO]: Loading Minecraft 1.20.1 with Fabric Loader 0.16.2
[20:47:27] [main/INFO]: Loading 4 mods:
	- fabricloader 0.16.2
	   \-- mixinextras 0.4.1
	- java 21
	- minecraft 1.20.1
[20:47:27] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.7 Source=file:/workspaces/my-servidor/servidor_minecraft/libraries/net/fabricmc/sponge-mixin/0.15.2+mixin.0.8.7/sponge-mixin-0.15.2+mixin.0.8.7.jar Service=Knot/Fabric Env=SERVER
[20:47:34] [main/ERROR]: Failed to load properties from file: server.properties
java.nio.file.NoSuchFileException: server.properties
	at sun.nio.fs.UnixException.translateToIOException(UnixException.java:92) ~[?:?]
	at sun.nio.fs.UnixException.rethrowAsIOException(UnixException.java:106) ~[?:?]
	at sun.nio.fs.UnixException.rethrowAsIOException(UnixException.java:111) ~[?:?]
	at sun.nio.fs.UnixFileSystemProvider.newByteChannel(UnixFileSystemProvider.java:261) ~[?:?]
	at java.nio.file.Files.newByteChannel(Files.java:379) ~[?:?]
	at java.nio.file.Files.newByteChannel(Files.java:431) ~[?:?]
	at java.nio.file.spi.FileSystemProvider.newInputStream(FileSystemProvider.java:420) ~[?:?]
	at java.nio.file.Files.newInputStream(Files.java:159) ~[?:?]
	at net.minecraft.class_3808.method_16727(class_3808.java:62) ~[server-intermediary.jar:?]
	at net.minecraft.class_3806.method_16714(class_3806.java:137) ~[server-intermediary.jar:?]
	at net.minecraft.class_3807.<init>(class_3807.java:12) ~[server-intermediary.jar:?]
	at net.minecraft.server.Main.main(Main.java:115) ~[server-intermediary.jar:?]
	at net.fabricmc.loader.impl.game.minecraft.MinecraftGameProvider.launch(MinecraftGameProvider.java:480) ~[fabric-loader-0.16.2.jar:?]
	at net.fabricmc.loader.impl.launch.knot.Knot.launch(Knot.java:74) ~[fabric-loader-0.16.2.jar:?]
	at net.fabricmc.loader.impl.launch.knot.KnotServer.main(KnotServer.java:23) ~[fabric-loader-0.16.2.jar:?]
	at net.fabricmc.loader.impl.launch.server.FabricServerLauncher.main(FabricServerLauncher.java:69) ~[fabric-loader-0.16.2.jar:?]
	at net.fabricmc.installer.ServerLauncher.main(ServerLauncher.java:69) ~[fabric-server-launch.jar:1.0.1]
[20:47:34] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[20:47:37] [main/INFO]: Loaded 7 recipes
[20:47:37] [main/INFO]: Loaded 1271 advancements
[20:47:38] [Server thread/INFO]: Starting minecraft server version 1.20.1
[20:47:38] [Server thread/INFO]: Loading properties
[20:47:38] [Server thread/INFO]: Default game type: SURVIVAL
[20:47:38] [Server thread/INFO]: Generating keypair
[20:47:38] [Server thread/INFO]: Starting Minecraft server on *:25565
[20:47:38] [Server thread/INFO]: Using epoll channel type
[20:47:39] [Server thread/INFO]: Preparing level "world"
[20:47:55] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[20:47:56] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:47:56] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:47:56] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:47:57] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:47:57] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:47:58] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:47:58] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:47:59] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:47:59] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:48:00] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:48:00] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:48:01] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:48:01] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:48:02] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:48:03] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:48:03] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:48:03] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:48:04] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:48:04] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:48:05] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:48:05] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:48:06] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:48:06] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:48:07] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:48:07] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:48:08] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:48:08] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:48:09] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:48:09] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:48:10] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:48:10] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:48:11] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:48:11] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:48:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:48:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:48:13] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:48:13] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:48:14] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:48:14] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:48:15] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:48:15] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:48:16] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:48:16] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:48:17] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:48:17] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:48:18] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:48:18] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:48:19] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:48:19] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:48:20] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:48:20] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:48:21] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:48:21] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:48:22] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:48:22] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:48:23] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:48:23] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:48:24] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:48:24] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:48:25] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:48:25] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:48:26] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:48:26] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:48:27] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:48:27] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:48:28] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:48:28] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:48:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:48:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:48:30] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:48:30] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:48:31] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:48:31] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:48:32] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:48:32] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:48:33] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:48:33] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:48:34] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:48:34] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:48:35] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:48:35] [Worker-Main-1/INFO]: Preparing spawn area: 9%
[20:48:36] [Worker-Main-1/INFO]: Preparing spawn area: 17%
[20:48:36] [Worker-Main-1/INFO]: Preparing spawn area: 65%
[20:48:37] [Worker-Main-1/INFO]: Preparing spawn area: 65%
